date,balance,count
2005-10-30,114.420255,14
2005-11-06,107.064454,14
2005-11-13,106.964394,14
2005-11-20,106.964394,14
2005-11-27,105.521659,14
2005-12-04,105.519229,14
2005-12-11,105.151781,14
2005-12-18,102.339323,14
2005-12-25,97.101848,14
2006-01-01,95.547287,14
2006-01-08,93.496426,13
2006-01-15,91.094058,13
2006-01-22,89.093968,13
2006-01-29,89.093948,13
2006-02-05,89.093928,13
2006-02-12,89.093928,13
2006-02-19,86.441614,13
2006-02-26,81.207064,13
2006-03-05,81.171198,13
2006-03-12,80.884378,13
2006-03-19,79.120557,13
2006-03-26,79.011558,13
2006-04-02,75.553811,13
2006-04-09,74.089099,12
2006-04-16,73.925965,12
2006-04-23,73.402578,12
2006-04-30,73.330908,12
2006-05-07,73.064228,12
2006-05-14,73.064228,12
2006-05-21,72.748794,12
2006-05-28,72.657155,12
2006-06-04,72.172442,12
2006-06-11,71.748295,12
2006-06-18,71.692881,11
2006-06-25,71.274742,11
2006-07-02,59.14127,11
2006-07-09,58.862538,11
2006-07-16,57.424978,11
2006-07-23,57.204447,11
2006-07-30,56.717216,12
2006-08-06,56.13535,12
2006-08-13,53.139682,12
2006-08-20,43.42317,12
2006-08-27,42.407277,12
2006-09-03,42.28613,12
2006-09-10,41.697406,12
2006-09-17,41.238775,12
2006-09-24,41.238775,11
2006-10-01,41.238775,11
2006-10-08,41.238645,11
2006-10-15,41.238645,11
2006-10-22,41.238645,11
2006-10-29,41.238645,12
2006-11-05,41.238645,12
2006-11-12,41.238645,12
2006-11-19,45.138645,12
2006-11-26,45.138645,12
2006-12-03,45.138645,13
2006-12-10,45.138645,13
2006-12-17,45.138645,13
2006-12-24,45.138645,13
2006-12-31,55.138635,13
2007-01-07,55.115425,13
2007-01-14,55.115425,14
2007-01-21,55.115383,14
2007-01-28,57.103778,14
2007-02-04,57.103475,14
2007-02-11,57.103475,15
2007-02-18,54.966548,15
2007-02-25,53.915152,15
2007-03-04,53.915152,15
2007-03-11,69.265771,15
2007-03-18,67.574563,15
2007-03-25,66.661417,15
2007-04-01,65.271647,15
2007-04-08,56.902072,15
2007-04-15,55.544876,14
2007-04-22,50.915912,14
2007-04-29,46.729351,14
2007-05-06,45.564457,14
2007-05-13,39.156308,14
2007-05-20,38.724254,14
2007-05-27,37.433648,14
2007-06-03,40.63402,15
2007-06-10,38.47663,14
2007-06-17,37.24711,14
2007-06-24,36.56864,14
2007-07-01,36.56864,14
2007-07-08,35.04019,15
2007-07-15,34.81893,15
2007-07-22,54.818909,14
2007-07-29,54.818566,14
2007-08-05,54.818511,14
2007-08-12,54.785506,14
2007-08-19,45.093786,13
2007-08-26,44.039813,13
2007-09-02,42.111981,13
2007-09-09,40.686745,13
2007-09-16,37.496167,13
2007-09-23,39.763679,13
2007-09-30,36.137276,14
2007-10-07,34.713917,15
2007-10-14,34.713917,15
2007-10-21,38.713917,15
2007-10-28,38.713917,15
2007-11-04,43.213822,14
2007-11-11,43.213822,14
2007-11-18,43.213775,14
2007-11-25,43.213678,14
2007-12-02,43.213178,14
2007-12-09,43.211774,14
2007-12-16,43.211774,15
2007-12-23,43.189141,15
2007-12-30,43.141472,15
2008-01-06,73.124662,15
2008-01-13,72.323181,15
2008-01-20,72.312302,16
2008-01-27,72.311534,16
2008-02-03,72.286125,16
2008-02-10,80.466125,16
2008-02-17,80.463822,16
2008-02-24,80.462422,16
2008-03-02,74.293442,17
2008-03-09,74.243322,17
2008-03-16,74.243322,17
2008-03-23,69.938442,17
2008-03-30,65.812292,17
2008-04-06,64.576802,17
