code,name,industry,stock_code,stock_name,price,stock_price,change,stock_change,remaining,turnover,convert_price,parity,premium,ytm,floor,floor_premium,rating,balance,issue_size,change_5d,stock_change_5d,list_date
111012.SH,福新转债,基础化工,605488.SH,福莱新材,379.153,27.94,-1.264039457614,-0.88683930471799,2.4109589041095,587.843484,11.11,251.48514851485,50.765562992126,-38.5478,107.57337585607,252.45988794412,A+,1.01629,4.29018,15.150622443184,13.90134529148,2023-02-07
111014.SH,李子转债,食品饮料,605337.SH,李子园,125.55,9.47,-0.37690934338426,0.21164021164023,2.868493150685,13.181047,18.14,52.205071664829,140.49387539599,-2.9668,109.67675604227,14.472751137549,AA,5.99923,6,-1.1027963765262,-1.9668737060041,2023-07-13
111015.SH,东亚转债,医药生物,605177.SH,东亚药业,129.183,16.77,0.1721450671133,0.66026410564225,2.9123287671232,26.393515,20.28,82.692307692308,56.221302325581,-2.9617,104.12677963729,24.063185714563,AA-,6.66214,6.9,0.9486672553509,7.1565495207668,2023-08-02
111017.SH,蓝天转债,公用事业,605368.SH,蓝天燃气,134.726,6.62,-0.65333451316992,-1.6344725111441,3.0219178082191,35.794757,6.72,98.511904761905,36.761135951662,-5.4077,108.46663683751,24.209622357732,AA,6.71534,8.7,-0.36090937328975,-2.2156573116691,2023-09-08
111018.SH,华康转债,基础化工,605077.SH,华康股份,128.749,11.06,-0.63056666100675,-0.090334236675698,3.3835616438357,30.35499,15.96,69.298245614035,85.789696202532,-2.2678,109.60329072498,17.468188362209,AA-,13.02213,13.03023,0.53331875751565,0.45413260672117,2024-01-15
111020.SH,合顺转债,基础化工,605166.SH,聚合顺,137.633,8.67,-0.90289227933499,-0.2301495972382,3.9561643835616,22.523783,10.53,82.336182336182,67.159802768166,-3.6023,107.25553609739,28.322513697587,AA-,3.3798,3.38,0.28051410585219,2.846975088968,2024-08-15
111021.SH,奥锐转债,医药生物,605116.SH,奥锐特,142.071,20.55,2.2373022840777,4.261796042618,3.9671232876713,75.314819,24.6,83.536585365854,70.070394160584,-4.3718,107.2235352901,32.499828153974,AA-,8.12086,8.1212,2.879177377892,5.2766393442623,2024-08-15
111022.SH,锡振转债,汽车,605319.SH,无锡振华,168.928,25.1,0.82906069631549,1.4551333872272,4.8630136986301,65.510215,22.39,112.10361768647,50.689160159363,-7.2772,102.31279417493,65.109360331977,AA-,5.19735,5.2,2.8706444030351,10.281195079086,2025-07-14
111024.SH,澳弘转债,电子,605058.SH,澳弘电子,154.934,27.09,1.7949829831408,4.5945945945946,5.345205479452,107.82621,33.54,80.769230769231,91.823047619048,-5.3783,98.876530139906,56.694414519579,AA-,5.79948,5.8,4.1783216783217,15.769230769231,2026-01-16
111025.SH,圣泉转债,基础化工,605589.SH,圣泉集团,169.037,42.38,5.5742230438693,7.2097141411586,5.8821917808218,1123.905048,70.8,59.858757062147,182.39310051911,-6.8944,98.252066140066,72.04421916077,AA+,25,25,3.7552403341538,24.208675263775,2026-07-21
113039.SH,嘉泽转债,公用事业,601619.SH,嘉泽新能,161.872,4.67,0.96554477183703,0.64655172413794,0.046575342465758,346.703986,2.89,161.59169550173,0.17346466809423,-714.5547,107.7788158391,50.189068918376,AA,2.74259,13,-1.0181182240105,0.86393088552916,2020-09-17
113042.SH,上银转债,银行,601229.SH,上海银行,117.064,9.21,-0.60706917192369,-0.96774193548387,0.46849315068494,269.541209,8.35,110.2994011976,6.1329424538545,-9.2335,111.22539620973,5.2493441149531,AAA,199.77484,200,-1.6698585492054,-2.5396825396825,2021-02-10
113043.SH,财通转债,非银金融,601108.SH,财通证券,128.446,8.46,0.21768473944151,0.35587188612101,0.34246575342468,70.23466,7.98,106.01503759398,21.158283687943,-51.0271,105.46904827659,21.785492615001,AAA,37.99362,38,-1.9121802214586,0.95465393794749,2020-12-28
113046.SH,金田转债,有色金属,601609.SH,金田股份,134.3,10.45,0.03649879702945,1.8518518518518,0.62191780821922,76.473657,10.18,102.65225933202,30.83004784689,-29.0936,108.97634149979,23.237757986452,AA+,14.99196,15,2.0493453796646,6.1991869918699,2021-04-12
113048.SH,晶科转债,公用事业,601778.SH,晶科科技,123.141,3.88,-0.88378045541255,-0.51282051282051,0.7095890410958,63.438065,4.47,86.800894854586,41.866048969072,-12.7501,110.79617220003,11.141926255075,AA,15.45304,30,0.67695175492385,7.7777777777778,2021-05-31
113049.SH,长汽转债,汽车,601633.SH,长城汽车,108.514,15.58,0.021199915200336,-0.89058524173028,0.841095890411,43.651198,38.83,40.12361576101,170.44920539153,-1.6588,105.6644803753,2.6967620666693,AAA,34.95039,35,-1.7430436711669,-7.3170731707317,2021-07-08
113051.SH,节能转债,公用事业,601016.SH,节能风电,132.195,3.55,-0.82672528263952,-0.83798882681565,0.87123287671238,65.46574,3.33,106.60660660661,24.002633802817,-19.2711,108.5872017374,21.740866220763,AA+,26.51937,30,0.21681613839844,0.28248587570621,2021-07-22
113052.SH,兴业转债,银行,601166.SH,兴业银行,117.139,18.34,-0.23081509241121,-0.75757575757576,1.3890410958904,230.371259,20.13,91.107799304521,28.571868593239,-3.6668,108.95995410977,7.5064696539742,AAA,413.51822,500,-0.7742285244763,-2.962962962963,2022-01-14
113053.SH,隆22转债,电力设备,601012.SH,隆基绿能,122.99,12.93,-0.0073171326596154,1.4913657770801,1.4136986301369,80.592294,17.5,73.885714285714,66.459783449343,-8.5068,106.26594461093,15.737925682867,AAA,69.9461,70,-1.6929373021709,-0.46189376443418,2022-02-17
113054.SH,绿动转债,环保,601330.SH,绿色动力,126.123,7.14,-0.59427634638271,-0.55710306406685,1.5534246575342,48.484577,8.67,82.352941176471,53.149357142857,-8.0779,108.10892828337,16.662889922849,AA+,23.59857,23.6,-1.3446285258366,-1.9230769230769,2022-03-23
