date,implied_vol,implied_vol_smooth,implied_vol_percentile,price_median,turnover_total,parity_median,premium_median,floor_premium_median,floor_median,remaining_median,ytm_median
2018-04-03,21.34761854532301,21.61124680155318,31.14754098360656,105.27,14.22902641,94.34,14.255,26.165,82.4,5.624657534246575,0.886023074388504
2018-04-04,22.46961331455978,21.46459437101574,50.0,105.315,14.50658431,94.755,15.145,26.51,82.5,5.621917808219179,0.950883388519287
2018-04-09,22.09145384234825,21.34222652367638,39.68253968253968,105.635,13.37559626,94.32,14.645,26.87,82.75,5.608219178082192,0.8395200669765472
2018-04-10,21.48046875,21.23789579195618,35.9375,105.5,20.18359695,93.82,13.51,27.11,82.8,5.605479452054794,0.794175922870636
2018-04-11,21.48046875,21.18685412528951,36.92307692307693,105.746,48.38887315,93.89,13.665,27.5,82.6,5.612328767123288,0.840539276599884
2018-04-12,21.74834058391001,21.1543386614393,39.39393939393939,105.5485,14.57070193,93.205,13.615,26.815,82.69999999999999,5.609589041095891,0.8957442045211792
2018-04-13,21.48046875,21.12881782810597,37.3134328358209,105.3855,13.04131747,92.905,13.605,26.535,82.69999999999999,5.606849315068493,0.9713177978992462
2018-04-16,21.90374153020768,21.13016650411289,42.64705882352941,105.0375,17.71579403,92.58500000000001,15.21,25.33,82.9,5.598630136986301,1.018471181392669
2018-04-17,23.74582727211772,21.20524717376851,73.91304347826086,104.425,20.3277619,90.19,18.01,24.495,83.1,5.595890410958904,1.27094179391861
2018-04-18,22.71104176858937,21.24626627438815,58.57142857142858,104.4995,21.51279269,90.77,17.285,24.08,83.85,5.593150684931507,1.273152828216553
2018-04-19,22.6931439426348,21.30635653539196,57.74647887323944,105.021,24.8092335,90.64,16.09,23.95,83.8,5.6,1.260440945625305
2018-04-20,23.39453125,21.39567945205863,70.83333333333334,104.2,12.88862815,88.48,17.98,23.39,83.9,5.597260273972603,1.382086634635925
2018-04-23,22.63951144341609,21.49811629183916,54.7945205479452,102.87,15.0782341,88.17,18.57,22.02,83.8,5.589041095890411,1.525421023368835
2018-04-24,22.3306888480199,21.56473821177316,47.29729729729731,104.38,20.93552796,90.53,15.87,23.67,83.8,5.586301369863014,1.34914767742157
2018-04-25,21.62884472275896,21.62072574419846,36.0,104.255,16.3271685,89.82,14.89,23.07,83.80000000000001,5.583561643835616,1.533037245273591
